album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,image
808s & Heartbreak,0.653291667,0.4825,5.666666667,-9.317583333,0.5,0.058375,0.2073125,0.139196217,0.227879167,0.345679167,116.932875,assets/jesusisking.jpg
Graduation,0.5722,0.624675,5.5,-7.1974,0.6,0.18576,0.11222675,4.01E-05,0.3044775,0.50983,104.9856,assets/jesusisking.jpg
JESUS IS KING,0.566454545,0.539454545,4.909090909,-6.253454545,0.363636364,0.151118182,0.479577091,0.000223036,0.301054545,0.380727273,102.2899091,assets/jesusisking.jpg
Good Music Cruel Summer,0.571416667,0.676833333,5.083333333,-6.623666667,0.416666667,0.213366667,0.079515,0.000186083,0.253358333,0.366058333,127.97975,assets/jesusisking.jpg
KIDS SEE GHOSTS,0.649,0.622142857,3.714285714,-6.092428571,0.571428571,0.118871429,0.247652857,0.005799221,0.213571429,0.378428571,120.601,assets/jesusisking.jpg
Late Registration,0.603046875,0.635625,6.453125,-7.860140625,0.53125,0.374454688,0.182325156,0.001879337,0.2060875,0.519375,102.6952031,assets/jesusisking.jpg
My Beautiful Dark Twisted Fantasy,0.532346154,0.680046154,4.961538462,-5.938730769,0.307692308,0.135930769,0.190156923,0.060181515,0.377423077,0.361273077,111.2858077,assets/jesusisking.jpg
The College Dropout,0.592666667,0.590547619,6.071428571,-7.839166667,0.476190476,0.407716667,0.359087857,1.16E-06,0.316740476,0.663047619,106.1515952,assets/jesusisking.jpg
The Life Of Pablo,0.611025641,0.575717949,6.564102564,-6.176717949,0.692307692,0.258520513,0.34349,0.000203399,0.243769231,0.394884615,110.9262821,assets/jesusisking.jpg
ye,0.685857143,0.503428571,5,-5.668285714,0.285714286,0.314528571,0.306742857,0,0.185957143,0.281385714,121.3627143,assets/jesusisking.jpg
Yeezus,0.5562,0.592,4.7,-5.4099,0.6,0.1791,0.1742754,8.91E-05,0.15278,0.35279,119.8598,assets/jesusisking.jpg